Jane Ellison|janeellisonmp|Conservative|Battersea
Dan Watkins|DanWatkins|Conservative|Tooting
Nadine Dorries|NadineDorriesMP|Conservative|Mid Bedfordshire
Will Martindale|WillJMartindale|Labour|Battersea
Sadiq Khan|SadiqKhan|Labour|Tooting
Charlynne Pullen|CharlynnePullen|Labour|Mid Bedfordshire
Douglas Carswell|DouglasCarswell|Conservative|Clacton
Stephen Kinnock|SKinnock|Labour|Aberavon
Guto Bebb|GutoBebb|Conservative|Aberconwy
Frank Doran||Labour|Aberdeen North
Anne Begg|annebegg|Labour|Aberdeen South
Pamela Nash|pamela_nash|Labour|Airdrie and Shotts
Gerald Howarth|geraldhowarth|Conservative|Aldershot
Richard Shepherd||Conservative|Aldridge-Brownhills